opaque_item_id,source_candidate_id,revision_candidate_id,target_facet,keyed_direction,critical_flag,seam_flag,expert_count,target_first_mapping_count,target_mapping_rate,dominant_non_target_mapping,dominant_non_target_count,same_non_target_30pct_flag,direction_match_count,direction_match_rate,relevance_median,direction_fit_median,clarity_median,single_response_median,universality_median,scale_fit_median,adjacent_separation_median,important_coverage_count,access_risk_reviewer_count,fatal_risk_count,risk_flag_counts,stage2_recommendation_counts,proposed_decision
NV2-001,SMRL-C11,SMRL-C11-r2,SM-RL,HIGH,NO,YES,6,3,0.5,METHOD,3,YES,4,0.6667,2.5,4,4,2,3,3.5,2,1,0,1,{},"{""CONSTRUCT_REWRITE"":4,""COPY_REVISE"":2}",HOLD_FOR_RISK_REVIEW
NV2-002,SMOS-C10,SMOS-C10-r2,SM-OS,LOW,YES,NO,6,6,1,,0,NO,6,1,4,4,4,4,4,4,4,5,0,0,{},"{""COPY_REVISE"":1,""KEEP"":5}",PASS_TO_COGNITIVE
NV2-003,ERWD-C06,ERWD-C06-r2,ER-WD,LOW,YES,NO,6,6,1,,0,NO,6,1,3,4,3,3,3,3,3,1,0,0,{},"{""COPY_REVISE"":6}",PASS_TO_COGNITIVE
NV2-004,OEIE-C10,OEIE-C10-r2,OE-IE,LOW,NO,YES,6,6,1,,0,NO,6,1,4,4,4,4,4,4,4,6,0,0,{},"{""KEEP"":6}",PASS_TO_COGNITIVE
NV2-005,RORN-P05-B,RORN-P05-B-r2,RO-RN,LOW,YES,NO,6,6,1,,0,NO,6,1,4,4,4,4,3.5,4,4,5,0,0,{},"{""COPY_REVISE"":4,""KEEP"":2}",PASS_TO_COGNITIVE
NV2-006,SMOS-C08,SMOS-C08-r2,SM-OS,LOW,NO,YES,6,6,1,,0,NO,6,1,4,4,4,3,3.5,4,3,6,0,0,{},"{""COPY_REVISE"":4,""KEEP"":2}",PASS_TO_COGNITIVE
NV2-007,SMOS-C12,SMOS-C13,SM-OS,LOW,YES,YES,6,6,1,,0,NO,6,1,4,4,4,4,3,3,3,5,0,0,{},"{""COPY_REVISE"":2,""KEEP"":4}",PASS_TO_COGNITIVE
NV2-008,OEIE-C09,OEIE-C09-r2,OE-IE,HIGH,NO,YES,6,6,1,,0,NO,6,1,3.5,4,4,3.5,4,3.5,3.5,3,0,0,{},"{""CONSTRUCT_REWRITE"":1,""COPY_REVISE"":3,""KEEP"":2}",PASS_TO_COGNITIVE
