reviewer_slot,wave_id,stage1_packet_sha256,stage1_response_sha256,stage1_sent_at,stage1_received_at,stage1_locked_by,stage1_lock_verified_at,all_stage1_waves_locked_at,stage2_packet_sha256,stage2_response_sha256,stage2_released_at,stage2_received_at,stage2_locked_at,notes
R05,W1,5e2dc8a1c388a9445599d0289c4d7a380151c64cf74417ce3752972362882c71,128b206024da4ab527875cf713210afd6fef18c40569a9d5ffb4bbc7be228f44,,2026-07-18T10:55:13.749Z,root-coordinator,2026-07-18T10:55:13.749Z,2026-07-18T10:55:13.749Z,3029f67fe1010d9d18b989fc3c372ae1a253ff58ad9e6a1f7d1e26352c28c9a0,debf7ec3840d605fda5dce59796128be30e5d305a992689f889aca7021d9a6dd,2026-07-18T10:56:18.864Z,2026-07-18T11:19:44.544Z,2026-07-18T11:19:44.544Z,
R05,W2,ff78b908ce9fc7e647246577aa409f1e5a3df0376d73750e818c38dc1b028487,ff34997462b8427eece39ad9b2c7e3697d279ba597d629407b8f7734d7dc94fe,,2026-07-18T10:55:13.749Z,root-coordinator,2026-07-18T10:55:13.749Z,2026-07-18T10:55:13.749Z,b5de6a34c7eca63a3e9d7587283016bea4c39b806761df7f2d329251f80e70d3,8a4134bc75d6009fe9f47b7d61a626cca32470e7c0b57b1aa5a194c9547b7905,2026-07-18T10:56:18.864Z,2026-07-18T11:19:44.544Z,2026-07-18T11:19:44.544Z,
R05,W3,1dbb5aa50032883aed7049ea6da56960afdff9b1a98593591ee97e623668cf2f,e2233b0cf2315126953bfd9360a5f59f656bc742f5eaaba568e0177ed99ebdf0,,2026-07-18T10:55:13.749Z,root-coordinator,2026-07-18T10:55:13.749Z,2026-07-18T10:55:13.749Z,d7c7b4baae5a7748886797985c949341bf5a249656340837baa74f334a081389,daaf8f8dc2ded3281585875522979f7b47db6d4ba2573f5bb316d1b83424aaa2,2026-07-18T10:56:18.864Z,2026-07-18T11:19:44.544Z,2026-07-18T11:19:44.544Z,
R06,W1,8e87d768ae93fb51baebe043af3318d5731c066f9ed77713d56c8273db597d6a,347b2c18fc627cbb71f7df3d8adae2caac45c485bae5a555c420d9a4112b9336,,2026-07-18T10:55:13.894Z,root-coordinator,2026-07-18T10:55:13.894Z,2026-07-18T10:55:13.894Z,467208bdadaf1eac7e263386436ac2b27cf3ab365fbaa29e64b3d36f3d2d9241,eff8902bede7e107e1e3f217c6f341c39d0c7e11ec2dc36907c4b8018c0b9f20,2026-07-18T10:56:18.999Z,2026-07-18T11:17:53.998Z,2026-07-18T11:17:53.998Z,
R06,W2,ea8f5ca4cf2475dfbff8b204c80667892a87467a231b34d4c17ec383e64fc98d,7b9d95ab75da87c54a566d7e162ca3d4cdaae51a036681cc73e788f2f1d1717f,,2026-07-18T10:55:13.894Z,root-coordinator,2026-07-18T10:55:13.894Z,2026-07-18T10:55:13.894Z,1c5fa9a5e575ff4f8b80adb1c4497dfa4866ea0aed3164ef11146a80d11aae13,49381ae5ef56547690c0d5cfea2647a73dce37edb22ba76e960dd48574a05762,2026-07-18T10:56:18.999Z,2026-07-18T11:17:53.998Z,2026-07-18T11:17:53.998Z,
R06,W3,6353d955052778fda0329135ffa1364b52317016b2c1ce6237f10ef215026a25,e513793b2136f6bdd99df05c04bbd69ee4f5251bbbd03ddaadd580225da5e455,,2026-07-18T10:55:13.894Z,root-coordinator,2026-07-18T10:55:13.894Z,2026-07-18T10:55:13.894Z,afee4f2845cbf47f5a92d105eca7c780691f7dba1be4e1d8c927d52a878c6b6e,ad8ee64622207be31380cd21ed70cdbd4b64e237113157c75baa95e8e67bde97,2026-07-18T10:56:18.999Z,2026-07-18T11:17:53.998Z,2026-07-18T11:17:53.998Z,
R07,W1,d8815c11660fb0e53c523e1a890d853ebd820729eff1f37228515fae8be7664d,,,,,,,ef344171f177b454c71449c267cc0e66dbe9a108f69a103881d5514b55b3a6b4,,,,,
R07,W2,077139d509b607bd44b3b91a2c29cf0545befb80623a781cf77add1a73167346,,,,,,,fa5fdee14b7188f4590d18094222baf72e9f1e0ccd818e52a7a3a5f99b7be942,,,,,
R07,W3,91ef50ef404193bc444b6cbdf0ce3e66274f41601f39e9cf4af27f3808222cef,,,,,,,15bfe090a965ada568e9c9c0362cdc1ddb39a451aeb483aae45ab3e4ec5628e1,,,,,
R08,W1,7163606ab3d112d08c01f6593f494dfef9ff22256c29ed541413d74adadee5ee,,,,,,,e5a1dd78d8391fcaebb1fe00af887c6b59bd8cc24199f897eedfb4bee21ccbcc,,,,,
R08,W2,039601ac50edf380f16ad8f03ea27312f3f7a96255a66a6866f78e0df57cc4a3,,,,,,,f225979a52562d564b4c4ea51d3b89336380d15cc464deab9743d7cab69bd805,,,,,
R08,W3,3527a910ece01bc8787348e6dbc0d4536b19745e500a4730a28f12e41094e1f2,,,,,,,bca0fb2555da8fe622b7c97d069bf8465030701f4bf6359553e29264902e6484,,,,,
